2> Event: Processed message | System Time: 2025-02-28 19:04:03 | Logical Clock: 118 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:03 | Logical Clock: 119 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:04 | Logical Clock: 120 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:04 | Logical Clock: 121 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:04 | Logical Clock: 124 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:04 | Logical Clock: 125 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:05 | Logical Clock: 127 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:05 | Logical Clock: 128 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:05 | Logical Clock: 129 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:05 | Logical Clock: 129 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:05 | Logical Clock: 130 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:06 | Logical Clock: 133 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:06 | Logical Clock: 134 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:06 | Logical Clock: 136 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:06 | Logical Clock: 137 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:07 | Logical Clock: 139 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:07 | Logical Clock: 141 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:07 | Logical Clock: 143 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:08 | Logical Clock: 144 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:08 | Logical Clock: 144 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:08 | Logical Clock: 145 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:08 | Logical Clock: 148 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:08 | Logical Clock: 149 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:09 | Logical Clock: 150 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:09 | Logical Clock: 152 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:09 | Logical Clock: 154 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:09 | Logical Clock: 155 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:10 | Logical Clock: 157 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:10 | Logical Clock: 158 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:10 | Logical Clock: 158 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:10 | Logical Clock: 161 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:10 | Logical Clock: 162 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:11 | Logical Clock: 163 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:11 | Logical Clock: 164 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:11 | Logical Clock: 165 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:11 | Logical Clock: 165 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:11 | Logical Clock: 166 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:11 | Logical Clock: 166 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:12 | Logical Clock: 170 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:12 | Logical Clock: 171 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:12 | Logical Clock: 172 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:12 | Logical Clock: 173 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:13 | Logical Clock: 174 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:13 | Logical Clock: 174 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:13 | Logical Clock: 175 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:13 | Logical Clock: 176 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:13 | Logical Clock: 176 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:13 | Logical Clock: 177 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:14 | Logical Clock: 181 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:14 | Logical Clock: 182 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:14 | Logical Clock: 185 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:14 | Logical Clock: 186 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:15 | Logical Clock: 187 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:15 | Logical Clock: 189 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:15 | Logical Clock: 190 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:15 | Logical Clock: 192 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:16 | Logical Clock: 193 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:16 | Logical Clock: 195 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:16 | Logical Clock: 196 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:16 | Logical Clock: 196 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:16 | Logical Clock: 197 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:16 | Logical Clock: 197 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:17 | Logical Clock: 198 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:17 | Logical Clock: 198 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:17 | Logical Clock: 202 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:17 | Logical Clock: 203 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:17 | Logical Clock: 203 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:17 | Logical Clock: 204 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:18 | Logical Clock: 205 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:18 | Logical Clock: 206 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:18 | Logical Clock: 210 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:19 | Logical Clock: 211 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:19 | Logical Clock: 213 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:19 | Logical Clock: 214 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:19 | Logical Clock: 215 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:20 | Logical Clock: 216 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:20 | Logical Clock: 217 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:20 | Logical Clock: 221 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:20 | Logical Clock: 222 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:21 | Logical Clock: 223 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:21 | Logical Clock: 224 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:21 | Logical Clock: 227 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:21 | Logical Clock: 228 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:22 | Logical Clock: 229 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:22 | Logical Clock: 230 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:22 | Logical Clock: 231 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:22 | Logical Clock: 233 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:23 | Logical Clock: 235 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:23 | Logical Clock: 236 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:23 | Logical Clock: 238 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:23 | Logical Clock: 239 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:24 | Logical Clock: 240 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:24 | Logical Clock: 241 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:24 | Logical Clock: 242 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:24 | Logical Clock: 242 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:24 | Logical Clock: 243 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:25 | Logical Clock: 244 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:25 | Logical Clock: 244 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:25 | Logical Clock: 249 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:25 | Logical Clock: 250 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:25 | Logical Clock: 251 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:26 | Logical Clock: 252 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:26 | Logical Clock: 253 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:26 | Logical Clock: 254 | Queue Length: 0
